articleID;cites
246;4762408|4779369|4791820|73072|4778280
247;29871|46996|4785078|69132|33857
248;40379|57599|4772726|42289|4779049
249;29339|803209|68304|67578|63180
250;69227|4789421|70677|4784581|4798830
251;4795281|33390|28650|54122|1270065
252;4772372|67136|4764799|4761276|28077
253;39641|31123|38693|4771833|4784241
254;51261|4773160|31446|4776596|37151
255;4787063|34533|71595|74833|4770623
256;4775970|4798779|4768266|4802908|4789423
257;803416|4784928|29063|61590|46333
258;4775553|64880|4785385|36043|32156
259;4791534|75747|52986|4790815|4774253
260;4794060|36516|4800045|4789142|39112
261;46640|53771|43588|4762716|65129
262;69979|4796303|44620|59825|52189
263;29967|65068|59574|4768684|47439
264;74084|62842|36085|35180|4790991
265;61384|66316|45653|4786089|4802253
266;4761580|4800581|48183|54652|4790949
267;33653|4791189|4766319|44865|4789011
268;70940|52624|4790331|45954|71067
269;4790387|50915|41466|32812|4767138
270;47067|38430|46018|56620|4791523
271;4767780|4760512|129|4799932|4775301
272;4776064|31290|50966|42910|64776
273;4781099|4765729|1400690|65000|43033
274;4779000|64015|4776334|4770091|61329
275;4763858|4793212|4772047|58464|53551
276;58529|48689|50424|1334187|256733
277;4793447|65988|50851|4796534|75316
278;4760694|345|4760524|59147|4800608
279;61563|4765020|4787468|70824|70044
280;4798374|4762504|4796166|4793653|4783519
281;70652|4785817|71535|38836|4786339
282;50624|4799476|4766498|4779997|57319
283;4782250|4791878|4764137|31266|4778883
284;60203|4795609|59323|70461|41907
285;4803413|53949|35416|4780670|4768750
286;4794069|4765774|35129|4780398|67576
287;54625|4773832|34927|67599|56549
288;4789325|52935|4771703|65433|35513
289;4800950|4798814|4780032|37553|69889
290;38660|44652|174857|66914|4798177
291;4781651|4794224|37910|63994|4799010
292;36598|55290|4792466|62364|4780250
293;253879|803295|38109|4789399|4768999
294;4765242|73762|48328|68079|4765073
295;4776230|62467|4765231|57558|67016
296;4784733|4796637|4787800|4787227|66215
297;60397|73402|67283|4770452|54174
298;31562|4800628|51906|59080|51983
299;4793396|31917|42951|67115|4780120
300;44180|4772759|4779357|4761896|39565
301;43517|75055|52692|4766041|4799762
302;4796849|70944|73610|4799282|1275710
303;48414|55587|4782361|45722|4772236
304;76777|4782644|4782637|75666|802045
305;68502|37053|50077|37049|4760528
306;4795043|36369|76932|4763432|4776517
307;51740|4769818|46652|4783550|56759
308;115|4763106|4774070|68348|4792621
309;1306962|56150|53067|4787579|4799061
310;4776230|28801|76353|59679|4794026
311;75313|4793344|32763|74235|4790529
312;36133|61880|61310|65118|55047
313;70474|72413|49052|4775425|1325743
314;30753|27946|4786493|4785495|56675
315;1323226|28615|45385|32103|72021
316;37085|4777776|70027|4779125|45215
317;33603|4776161|4765256|68440|40188
318;45263|46052|4765876|35731|1486834
319;1395719|51015|62151|4794839|58642
320;46940|802056|256643|4774848|73518
321;76342|4779555|253109|73186|68548
322;4802798|4784877|50817|72086|39527
323;33048|43415|4772680|4768871|4802113
324;463|4787217|4777969|63620|4788029
325;68506|40845|4795574|67823|4769898
326;61103|54089|55614|4770435|4768291
327;72190|44919|4802458|75931|73348
328;801899|66754|4803740|59292|4770141
329;258414|4803023|4786441|52750|63493
330;36493|46859|4763519|1271825|4798354
331;4778444|4790964|4782278|802098|4772058
332;4796237|802556|4788043|4794235|63431
333;34657|4780341|70244|42523|4797087
334;57263|45268|48285|68701|30197
335;39407|4763458|4785203|258373|47131
336;4791780|4776792|4777690|71705|57239
337;68705|69318|73310|4776471|43829
338;4781663|4794766|4789622|4786491|4775085
339;76149|64089|4778411|4773960|4763114
340;4771037|55461|43661|4803413|4792860
341;4773973|173355|74119|53580|42773
342;802124|54170|45744|72026|4794985
343;62310|4772963|4788105|253683|49621
344;28572|35483|4800386|4784925|31546
345;48413|4778644|73547|4772412|4781796
346;75740|4771092|4786506|35387|4792933
347;4769731|41748|4770249|4798192|4772068
348;75414|4789161|64595|29750|4783139
349;46629|65993|4777509|57116|4760605
350;70165|4772181|69840|4800202|4775224
351;74338|4765216|4801742|4782056|4760639
352;4789386|38779|4767949|32801|4786357
353;46175|802278|71338|38372|4773654
354;31322|62023|62800|1474402|4792446
355;4795981|4786178|4761497|61625|69937
356;39865|42378|4776990|76777|4777298
357;4760461|4778457|4781218|4803137|4798153
358;4784969|4770373|4779246|4790447|4763338
359;4762149|37502|40775|67025|4800555
360;70819|4787297|4765203|44201|70660
361;38670|57722|73942|4772017|38021
362;42622|53929|4794560|50888|4783997
363;58423|60807|32095|49386|71526
364;65760|4791463|35961|4789064|70441
365;4802704|57155|75729|55243|36022
366;62145|4761223|4761808|70728|4765865
367;67441|4787368|53423|4771929|4779564
368;58688|53642|4795706|36307|4800137
369;31990|51242|51805|57886|4778128
370;4787311|49345|4793684|4800578|62487
371;4764180|55406|4762921|1331531|4802790
372;48584|75966|65447|4792541|67348
373;35887|74199|44867|72275|65694
374;63663|43697|4760956|49407|4786064
375;75915|38942|61865|4777852|69476
376;64668|49346|42089|4784001|173707
377;55074|4787743|27970|4783792|4773228
378;4780213|4803819|73503|45786|4769070
379;4790105|4786321|803363|75909|36289
380;4792910|4795174|4801133|49600|4786139
381;44690|4775547|4785559|4768043|1321448
382;51171|77100|48009|49253|72773
383;31638|4763344|70738|4784673|60032
384;4764467|4801768|4779018|70151|58486
385;4767458|65572|174716|56883|66237
386;38637|52773|4784698|43187|4781795
387;4791413|65253|6|801873|52938
388;74646|39309|4775658|40941|4790560
389;75892|57206|4772085|4771244|4773596
390;4777365|4768500|1494431|4767866|4789999
391;58358|39339|51946|174281|4762820
392;4786780|4778102|33912|4800943|71651
393;73184|36086|44674|45625|68222
394;52550|4779748|42293|4778696|57222
395;76116|1320197|4772805|39542|71013
396;33321|4773920|54784|34885|4762314
397;47741|64731|4777162|4785363|58725
398;52867|4768336|4781274|4766689|70420
399;32546|4769829|69679|62141|4763187
400;4790543|49237|4761590|4800403|4767570
401;4789724|34629|4777075|4767959|4774597
402;69366|64500|4785832|4795684|42891
403;56748|4778502|44075|42123|44290
404;41446|70802|4772745|56376|4766045
405;67602|4796170|64412|4795941|59512
406;76952|37440|72146|1293285|4774339
407;4782906|46985|39366|75638|4763060
408;32878|4775975|40933|65285|71342
409;4788564|175|71389|64579|36498
410;4771317|4764992|4800719|4782616|43197
411;4803792|38056|4764885|61823|35712
412;4781771|4787809|4771572|4767418|4797844
413;60817|4798516|4760449|4773821|4763463
414;4786932|4769935|45371|174695|47046
415;4779914|4785100|1469174|4799957|30370
416;52197|30689|4760394|4787171|67932
417;40463|4769864|4776184|62347|4767013
418;4781449|4776140|1478157|39534|4760729
419;4798231|4782082|4762648|52725|4795664
420;42096|55030|64985|4782659|4768775
421;70517|70273|56289|72037|4773581
422;1484172|4786788|50692|4785491|4763857
423;60817|4771907|4761010|67426|75701
424;4779838|4800391|37704|4803610|38147
425;39417|4774218|75577|57463|4776775
426;47979|4801294|54650|37160|4775723
427;1334934|4794791|38219|4797774|4771248
428;4781516|45675|4784259|1321001|56273
429;39996|36212|4792185|42726|4803001
430;42798|31207|54998|4771801|4794239
431;33324|4791173|64763|34278|4789107
432;4761652|59785|4800088|4775771|34396
433;4789177|4771085|4801158|59863|4765868
434;65241|70425|30761|32611|54716
435;55558|4762973|4787925|4775205|42391
436;62039|74462|4765117|29299|4773268
437;69211|52975|60386|4778542|45918
438;76287|33622|254053|4794294|142
439;4777233|4787792|4771579|60699|4772246
440;50006|4799034|30004|41351|61352
441;4765351|4785263|52143|36865|4773125
442;4765020|4780784|55283|68509|4765229
443;4790844|61874|4767714|4761753|4790708
444;45111|39146|4763275|4801926|47770
445;48540|77098|49099|28079|4767248
446;4764890|74717|49154|33730|42055
447;4786226|4761490|74179|46886|28142
448;54696|4770149|4764528|44517|4765577
449;4766034|4781821|56771|4778684|59041
450;4788328|61888|4762037|4793378|41954
451;60186|4799481|4785394|33292|4773613
452;73909|4776785|51400|50440|74630
453;55306|4786390|46654|4765163|4787332
454;1487735|47100|4776308|1517895|44209
455;76329|4779021|4786519|4795751|36794
456;38323|74906|28347|4769477|34724
457;37481|59800|256085|41645|4799369
458;75223|60193|61420|57975|34245
459;4765038|42448|4787836|4795213|47487
460;40812|52695|75581|4773326|59001
462;4795350|4774883|4763931|1431704|34844
463;71970|4761804|50872|54078|49872
464;32511|4767382|40579|4777276|4766868
465;66600|4784723|4785992|71821|4785364
466;51857|4783675|1278724|59182|65690
467;4766063|31420|4791355|34984|4788487
468;4761114|54667|4779818|43273|4765287
469;57916|803395|4802653|1334036|58115
470;54588|57368|4768138|4781224|32275
471;55645|4799003|62604|45897|57232
472;39942|173841|41194|72983|4781674
473;4793772|40409|4762317|34823|51838
474;4802801|4765605|4800129|52096|65968
475;4781477|61496|41075|32280|258232
476;4794929|36211|4784342|50910|4784803
477;72210|41184|1359048|54900|53428
478;73243|4790984|1359754|4796890|4764769
479;30129|4765569|46977|4783774|40777
480;40239|76461|4801339|4792632|65548
481;4762466|4793733|41101|801658|4799315
482;73789|38270|4771483|74530|4793370
483;4771895|172551|42083|49929|65900
484;45464|4800240|65313|803505|43699
485;72482|4794594|4790114|32361|65126
486;4780263|32324|39177|37839|4795135
487;49849|42387|4777640|72102|4799286
488;4773494|32177|4786728|4772396|4797056
489;258011|4761294|4781269|49867|59487
490;59807|4786218|31275|1318017|4798197
491;4793316|74111|66314|4800284|4776688
492;38789|4761371|4796854|255660|28171
493;65938|803558|4771669|37240|174126
494;4800520|31634|4801551|49109|4785826
495;4779129|4770932|36786|4772812|4788253
496;34204|4803629|28080|4787278|4773314
497;62646|4796523|4773400|52198|45977
498;173673|68924|253526|64374|49804
499;49566|4788498|48739|4797501|4789672
500;69789|4778996|65185|4769476|4781337
501;60776|4797500|41932|44430|4762653
502;33782|69206|4774182|4775704|4768309
503;4761997|53916|48528|70598|57538
504;4801872|55005|4799135|4779105|4769136
505;70944|4801658|4786286|45250|802355
506;44619|4799977|72531|2256649|1471795
507;4767925|4795195|72560|54974|50112
508;172626|43727|43607|61210|66941
509;34877|4763384|51653|4773924|49907
510;802060|74864|56627|48684|73734
511;1302038|31145|4760743|4800810|4801211
512;64813|68906|4803232|172769|4763612
513;802832|52697|4795924|4762260|49334
514;41816|4781439|4793698|4786696|4768348
515;4766525|29010|4777885|54966|29231
516;72163|30486|4798760|48677|4772173
517;4774164|4792847|4772364|54261|4765770
518;4761557|4793043|4802081|4800451|4797652
519;67900|46724|66303|60063|4803114
520;4768649|73672|4797580|50090|1371102
521;4777097|4774212|65484|4761974|175
522;59299|4776908|44621|4767314|71080
523;37848|56260|4781126|4768794|4778964
524;48609|51834|4765077|73276|4771905
525;4801649|4766091|60268|4802810|50870
526;257389|51722|4762661|4768285|40693
527;4760992|4776540|4769663|53870|4764906
528;4779025|71298|4763702|28283|76614
529;4763393|4786511|4777633|4767210|4775093
530;4766858|4794789|29093|67585|1325090
531;45944|4782055|4790831|2266657|4769368
532;33369|4788567|53617|45785|75193
533;4797173|803385|39800|44846|4790721
534;29131|56372|4767539|39104|4766105
535;1401557|30584|51652|4774299|1280100
536;40445|64463|57109|58342|4789245
537;4791659|57735|4782351|57727|4795853
538;49906|53454|40723|34634|72293
539;42162|33432|4791086|4802356|65131
540;63519|4764582|32379|4783077|4790771
541;4761316|75955|1346136|41085|4791256
542;29954|76039|4763495|42905|34389
543;4783056|4767437|56285|60979|4784710
544;4783112|50767|4794583|4770381|4788961
545;803487|56763|72672|50446|4771900
546;38348|66641|4768644|42644|60957
547;1406435|34604|4780633|56384|29452
548;76917|59750|29444|41835|73612
549;40337|4769030|32610|51599|33901
550;59589|4766113|801644|57187|4789138
551;4791508|74917|4795798|4774408|47827
552;4788830|4763690|71839|4796734|48735
553;4784747|74532|4794395|68321|57174
554;4803389|45095|4802754|53106|4789762
555;4775785|4794455|4762062|4775750|33477
570;67144|59100|30308|69559|51119
571;4786633|4770865|174661|1348481|4796810
573;74080|41059|28005|4764886|4791838
574;68083|4789916|76899|4761607|76508
575;4800198|4784304|28122|33842|4778759
576;73085|68641|4786151|33884|43483
577;30649|802960|4788015|4777965|28967
579;48292|37553|74601|58148|76031
580;4790327|4761929|4769454|48565|4765217
581;4766336|256546|62725|28295|39279
583;4790414|4770281|4791176|39109|41596
584;4779831|4791958|1318224|32269|1519415
585;4792851|75073|70094|64110|253716
27893;62665|70729|4762344|49334|65864
27894;802857|50339|4780865|46135|4761855
27895;75648|1413066|4793766|4791244|4776447
27896;29696|4789264|39437|29052|68128
27897;50967|1312434|69102|4780463|4789268
27898;60851|72881|35703|1451690|73928
27899;4783234|46179|4780557|34317|41591
27900;72522|4800175|4785281|4765270|64396
27901;67097|4771547|60444|4795560|4763160
27902;68493|46701|72907|70809|58372
27903;4774846|4761943|47992|42118|69262
27904;71837|4794263|59928|4761737|46871
27905;4787548|33540|49305|4777538|4770758
27906;4785489|4770410|803122|59898|4773352
27907;1472519|4764016|4764523|115|37839
27908;4765588|48938|4760706|4784313|4793296
27909;4787971|4796408|63515|69079|802022
27910;4774772|45929|4775886|66391|4793897
27911;4782254|4801646|54952|44879|4788590
27912;4767787|35156|58918|4774291|76383
27913;4780769|4794841|50329|4794709|4771191
27914;71418|64391|4781435|4778935|4799795
27915;4793019|4772216|4786952|49749|53145
27916;31660|67806|59456|39426|56465
27917;4768628|66021|1280068|4781192|49073
27918;49018|4787281|4792072|4803098|4761592
27919;4779300|74704|57969|4777174|47933
27920;4782596|4785094|35748|64741|4769107
27921;4760932|4797989|58462|64336|1316422
27922;1478060|33487|4764772|50700|4760708
27923;4776644|29334|4779203|4786950|28551
27924;4777430|69285|802564|47044|4798731
27925;4782344|4792908|46572|53075|50223
27926;4780583|4802914|43307|28068|56331
27927;803488|36828|4783520|77251|42378
27928;4763054|39833|802268|44489|43823
27929;4801419|4782254|802583|4769351|46560
27930;4791643|4762569|4778389|74345|1401571
27931;41801|4763556|35743|65083|4781943
27932;4778666|44749|40386|55463|4773405
27933;4771499|49639|4799245|4782545|4774190
27934;74384|71088|58828|4760994|4771874
27935;4792667|803001|4761975|63525|74613
27936;4784075|4786390|60463|4786367|4767827
27937;48143|71384|60405|59509|4777533
27938;4800885|4798123|70000|4800042|54946
27939;46262|72341|46790|173450|40993
27940;1400537|4769044|65274|4790690|76474
27941;4774126|1391779|4772541|75502|36134
27942;4775680|45207|4770960|4797450|74569
27943;4776686|44974|42778|57758|4801672
27944;69982|4761472|56262|38661|4784976
27945;51280|4784715|45918|64122|35279
27946;4762706|4762444|71694|4760540|64907
27947;54298|4773800|34829|4798535|71765
27948;38087|4803374|73989|4795251|4772877
27949;4798069|4787150|75000|40844|48054
27950;4770654|4795592|4769802|1293594|4793425
27951;29982|4801686|4783248|37092|31624
27952;802878|54459|53082|4773826|4789020
27953;68345|28821|63691|41879|4776301
27954;4802946|4788000|62169|4798974|4782009
27955;29646|34800|4800023|74637|4776941
27956;44695|58560|4797363|31119|4767978
27957;53467|4763282|4792200|4764398|1321036
27958;39512|40811|4782048|39548|4799549
27959;4783576|44018|56397|4770992|4769041
27960;4771005|45994|4787657|69325|47269
27961;70389|4782549|4765215|60266|4789892
27962;4782654|254271|4785896|55823|4794645
27963;36384|4781967|4787296|4768909|4772547
27964;68477|30654|54948|62914|69345
27965;4779355|51750|57149|62580|53844
27966;4803254|4803084|44767|59165|1272592
27967;4794025|4794864|4784265|4775928|4762220
27968;4798066|4780765|4776086|4788245|802800
27969;36968|45259|58473|4791754|61959
27970;258369|1407821|63670|4799550|4772516
27971;54786|49386|4767829|140|4796502
27972;4801799|1370615|39261|4771416|4762774
27973;36089|1514470|4761185|47845|4783732
27974;47294|41346|48177|4778620|4780304
27975;40280|4778216|803318|70621|4800746
27976;48812|4795398|60649|4779099|4768279
27977;58554|4771390|64835|173288|4776397
27978;4767871|4794124|4777091|64862|4785831
27979;65830|4772507|52744|4800840|4780450
27980;55920|43400|4777953|59604|51074
27981;4780286|4786971|75752|43760|4801833
27982;4788282|4764531|37376|76696|60717
27983;4801139|54936|50944|4782689|48722
27984;38539|4802146|52573|4776155|45812
27985;4792871|4792032|4769108|4772266|72186
27986;4795007|31724|4770421|4784965|4801987
27987;4775339|58197|4794290|75011|4791287
27988;4794453|4765070|4780555|4781203|41025
27989;4802504|68786|4793732|74714|48909
27990;4796103|53673|66975|4760600|63839
27991;4773728|74302|4786674|40630|4769485
27992;37299|4782918|4766980|33733|58303
27993;4767454|31245|4786460|4802947|4786810
27994;4779665|37597|66317|54752|4762365
27995;33615|4774495|33566|49999|72670
27996;172852|76862|4764277|4776685|47739
27997;4766376|60588|4779350|43106|4777173
27998;4761888|4797705|4767710|4786839|47696
27999;4796670|56086|4778024|4793813|4770115
28000;4802908|34041|41782|76175|72011
28001;4801185|4762399|65059|4776516|76751
28002;71425|67418|4769342|29109|4771381
28003;4777297|47812|4790348|31543|29325
28004;40653|45960|33467|1364415|60091
28005;4778977|64281|4800555|75663|1351434
28006;66631|54504|68707|4776416|30935
28007;28944|4787805|63736|32289|33997
28008;4798616|4786727|4772961|46080|4775937
28009;4782296|4786887|50588|54294|4771610
28010;195|173068|49489|4801657|45372
28011;71661|64377|4768662|73809|52153
28012;4796025|38716|70219|51455|49631
28013;57831|4787288|4797164|36231|258289
28014;4768032|44006|76290|4796141|4785241
28015;30385|42163|4764910|4775989|4788046
28016;45205|62469|74654|4800169|42590
28017;4794366|66921|1516263|67729|67091
28018;69283|31411|55891|4796472|57957
28019;68800|4769235|75345|4775289|36178
28020;49520|801584|4771610|53229|32233
28021;4800577|52079|4791876|59425|4768913
28022;4799143|1286843|72160|45066|803106
28023;77213|4777134|29199|58473|39084
28024;55151|4764317|64992|4778699|4772580
28025;40185|4789089|4793528|28034|4796299
28026;44612|4785718|4793776|4796652|4785640
28027;4770115|57473|4768796|65156|803426
28028;4803371|1361412|4795373|69809|4787775
28029;51706|36711|4777378|62868|67674
28030;28563|42496|57046|65874|29844
28031;51369|63230|4789033|37399|4784964
28032;4779657|4797763|59122|54435|4771536
28033;4766882|32257|4791890|4763613|69188
28034;4774765|33212|4766145|1390986|4784311
28035;802149|4786355|4781777|56462|70848
28036;4768945|42613|50591|59400|4782164
28037;4769073|4788257|4776525|43688|4796076
28038;4796949|77319|52472|32458|59744
28039;58168|4766067|28552|258032|4779063
28040;30066|4773280|77287|38785|68828
28041;59420|4781309|68051|1459649|4780354
