articleID;review1;review2;review3
15;7432957|B'enim' b'id' b'a' b'a' b'ut'.|accept;7433030|B'eros' b'in' b'a' b'a' b'pretium' b'a' b'turpis' b'a' b'et'.|accept;7433109|B'pede' b'et'.|reject
16;7433008|B'arcu' b'at'.|reject;7432907|B'amet' b'id' b'a' b'leo' b'mauris'.|accept;7433081|B'pede' b've' b'a' b'a'.|accept
17;7433079|B'nisl' b'ad' b'a' b'pede' b'primis' b'per' b'a'.|reject;7432964|B'amet' b'ad' b'at' b'purus' b'et' b'a' b'a'.|accept;7433076|B'quis' b've' b'a' b'hac'.|accept
18;7433059|B'diam' b'et' b'a' b'mattis' b'quis' b've' b'egestas' b'a' b'dolor' b'cras' b'eros' b'dis' b'a'.|reject;7433003|B'orci' b'in'.|accept;7433074|B'eros' b'mi' b'enim' b'a'.|accept
19;7433080|B'nisi' b'mi'.|accept;7433040|B'urna' b'in' b'a' b'orci' b'ut' b'iaculis' b'lobortis'.|accept;7433100|B'elit' b'mi' b'quis' b'lectus' b'a' b'lobortis' b'a' b'a'.|reject
20;7433072|B'elit' b'et' b'a' b'est' b'a' b'a' b'quam' b'a'.|accept;7433018|B'nisi' b'at' b'elit' b'non' b'ad'.|accept;7432940|B'erat' b'mi' b'a' b'mollis' b'a' b'a' b'a'.|reject
21;7432934|B'ante' b'ut' b'a' b'nisi' b'per' b'libero' b'eu' b'a' b'hac' b'montes'.|accept;7432986|B'ante' b'in'.|accept;7433057|B'quam' b'at' b'ad' b'non' b'a' b'id' b'et'.|reject
22;7433017|B'nibh' b'eu' b'a' b'a' b'mi' b'magnis' b'litora' b'pellentesque'.|accept;7432866|B'erat' b'ac' b'id' b'a' b'pede' b'non' b'a' b'faucibus' b'a' b'sem' b'a' b'pede'.|reject;7433023|B'arcu' b'ac' b'mi' b'a' b'nec' b'quam' b'nunc' b'dui'.|accept
23;7433037|B'diam' b'mi'.|reject;7432970|B'diam' b've' b'ad' b'nisl' b'sem'.|accept;7432888|B'orci' b'at' b'a' b'a' b'a' b'ut' b'a' b'per' b'a' b'a' b'a' b'platea'.|accept
24;7432977|B'amet' b'ac' b'a' b'mi'.|accept;7432962|B'amet' b've' b'ac' b'a'.|accept;7432919|B'arcu' b'ac' b'a' b'quisque' b'mus' b'ac' b'natoque' b'a'.|reject
25;7433039|B'ante' b'mi'.|accept;7433009|B'diam' b'ac' b'a' b'ac' b'a' b'a' b'dolor' b'ut' b'duis'.|reject;7432926|B'nibh' b've' b'erat'.|accept
26;7432894|B'nisi' b'id' b'eu' b'ac' b'taciti' b'a' b'aenean' b'eu' b'ad'.|reject;7432965|B'eget' b'in' b'mi' b'purus' b'a' b'mollis' b'fames'.|accept;7433059|B'quam' b'at' b'a' b'a' b'est' b'orci' b'cursus'.|accept
27;7433043|B'duis' b'in' b'a' b'magna' b've' b'duis' b'a' b'a'.|accept;7432906|B'odio' b'at' b'a' b'mattis' b'ad' b'et' b'mi' b'elit' b've' b'a'.|reject;7432931|B'enim' b'et' b'blandit' b'lorem' b'amet' b'imperdiet' b'eni' b'ac' b'ad' b'at' b'interdum' b'a' b'hac'.|accept
28;7432891|B'urna' b've' b'lacinia' b'netus' b'ac' b'a' b'varius' b'ut' b'odio' b'et' b'a' b'a' b'eni' b'lectus'.|accept;7432951|B'nunc' b'et'.|reject;7432924|B'urna' b'ad'.|accept
29;7432908|B'pede' b'ad' b'euismod' b'a' b'eni' b'congue'.|reject;7432918|B'urna' b'at' b'a' b'a' b'mus' b'a' b'odio' b'a' b'a'.|accept;7432983|B'erat' b'ut' b'viverra' b'porta' b'a'.|accept
30;7432868|B'nisl' b'at' b'a' b'ad' b'a' b'hac'.|accept;7433004|B'nibh' b'ut' b'a' b'vel' b'a' b'integer' b'primis' b'ultrices' b'primis'.|accept;7433107|B'nibh' b'id' b'a'.|reject
31;7432999|B'urna' b'ad'.|accept;7432990|B'eget' b'ad' b'a' b'mus' b'elit' b'a' b'imperdiet' b'felis' b'ut' b'a' b'diam' b'enim'.|reject;7432975|B'odio' b'in' b'mi'.|accept
32;7433024|B'urna' b'id' b'ut' b'sed' b'ad' b'morbi' b'integer'.|accept;7432914|B'nisl' b'ut' b'a' b'mi' b'a' b'id' b'a' b'a'.|accept;7432901|B'nisl' b'id' b'a' b'in' b'est'.|reject
33;7433033|B'diam' b'at' b'a' b'a' b'non' b'a' b'a' b'quam' b'turpis' b'massa' b'ad'.|reject;7433073|B'eros' b'et' b'ut' b'et' b'ac' b'a' b'a' b'massa' b'primis' b'a' b'id' b'a'.|accept;7432966|B'arcu' b'id'.|accept
34;7432922|B'orci' b'ut' b'a' b'sit' b'porta'.|reject;7433099|B'ante' b'at' b'a' b'augue' b'pellentesque' b'enim' b'auctor' b'fusce' b'etiam' b'consectetuer' b'pretium' b'diam' b'a' b'a'.|accept;7432888|B'nibh' b'id' b'a' b'a' b'pede' b'ut' b'a' b'a' b'a' b'fringilla'.|accept
35;7433090|B'quis' b'eu' b'a' b'ut' b'leo' b'eu' b'vehicula' b'a' b'nec'.|accept;7432924|B'erat' b'et' b'a' b'proin' b'ad' b'convallis' b'nostra' b'eu' b'a' b'non' b'at'.|accept;7432989|B'ante' b'in'.|reject
36;7432869|B'nunc' b've' b'a' b'ad' b'a' b'dictumst' b'a' b'dui' b'magna' b'a'.|reject;7433066|B'duis' b'mi' b'et' b'a' b'dui' b'primis' b'morbi' b'hac' b'a' b'a' b'consequat' b'elit' b'at'.|accept;7433045|B'arcu' b'mi' b'eu' b'a' b'quam' b'sed' b'a' b'a' b'hac' b'sed'.|accept
37;7433021|B'arcu' b'ad' b'ac'.|reject;7432895|B'elit' b'mi' b'a' b'a' b'ad' b'mattis' b'nostra' b'sollicitudin'.|accept;7432877|B'arcu' b'et' b'a' b'eget' b'at'.|accept
38;7432997|B'arcu' b'et' b'a' b'a' b've' b'luctus' b'a' b'a' b'a' b'a' b'enim' b'a' b'congue' b'a'.|accept;7432912|B'enim' b'mi' b'a'.|accept;7433070|B'eros' b'ut' b'a' b'a' b'morbi' b'a' b'dictumst'.|reject
39;7432995|B'pede' b'ad' b'a' b'a' b'a' b'est'.|accept;7433077|B'pede' b'in' b'et' b'a' b'urna' b'a' b'a' b'a' b'a'.|reject;7432920|B'pede' b'ut'.|accept
40;7432875|B'eget' b'id' b'a' b've' b'a' b'a' b'purus' b'congue' b'a' b'a' b'a'.|reject;7432974|B'amet' b'et'.|accept;7432912|B'odio' b'eu' b'a' b'a'.|accept
41;7432969|B'quis' b'ad' b'a' b'id' b'tortor' b'ut' b'id' b'lacus' b'ad' b'tempus' b'a' b'a' b'a'.|accept;7432996|B'elit' b'mi' b'eu' b'pede' b'quam' b'a' b'felis' b'nec' b'sit' b'a' b'a' b'mi' b'nibh' b'a' b'a'.|reject;7432929|B'arcu' b'ut' b'a' b'litora' b'leo'.|accept
42;7432900|B'quam' b'mi' b'quisque' b'a' b'semper'.|accept;7432938|B'odio' b'mi' b'ac' b'orci' b'sed' b'a'.|accept;7432872|B'amet' b'et' b'a' b'a' b'a' b'nunc' b'a' b'ornare' b'eu' b'sociis' b'quam'.|reject
43;7433102|B'pede' b'et'.|accept;7433110|B'duis' b've' b'ad' b'a' b'a' b'a' b'per' b'a' b'a' b'morbi' b'quisque' b'varius'.|accept;7432985|B'diam' b'in' b'a' b'a' b'risus' b'sem'.|reject
44;7432962|B'urna' b'id' b'a' b'a' b'a' b'a' b'a' b'magnis' b'massa'.|accept;7433078|B'quam' b'id' b'a' b'a' b'a' b'id' b'placerat' b'a' b'nam' b'ultricies' b'lectus' b'id' b'a' b'est' b'aenean' b'fusce' b'sem'.|reject;7433095|B'nunc' b'id' b'a' b'duis' b'nec'.|accept
45;7432906|B'eget' b'id' b'a' b'a' b'a' b'ad' b'a' b'a' b'ad' b'in' b'accumsan' b'netus' b'a' b'a' b'a' b'eros' b'elit' b'hac' b'at'.|reject;7432868|B'arcu' b'eu'.|accept;7432958|B'nisi' b'at' b'ac' b'a' b'a' b'ad' b'nostra' b'a' b'a' b'fames' b'a' b'vestibulum'.|accept
46;7433028|B'amet' b'id' b'a' b'a' b'a' b'in' b'sed' b'cursus' b'neque'.|accept;7432948|B'nisl' b'id' b'a' b'a' b'a' b'a' b'nisl'.|reject;7432964|B'enim' b'mi' b'a' b'a' b'a' b'parturient' b'erat' b'vitae' b'ac'.|accept
47;7433017|B'arcu' b'ut' b'sodales' b'a' b'sapien' b'mus' b'id' b'aptent' b'diam' b'curabitur' b'cursus' b'ad' b've' b'donec' b'ut'.|reject;7432885|B'nunc' b'ut' b'a' b'a' b'a' b'morbi' b'a'.|accept;7433020|B'nisl' b'mi' b'a' b'a'.|accept
48;7432895|B'eget' b'in' b'a' b'odio' b'a' b'a' b'lacus' b'ut' b'orci' b'semper' b'a' b'a'.|accept;7432894|B'odio' b'eu' b'ad' b'a' b'quam' b'cum'.|accept;7433061|B'urna' b'eu' b'laoreet' b'a' b'lorem' b'ac' b'a' b'egestas' b'sapien' b'nascetur' b'id' b'cursus' b'taciti' b'a' b'nam' b'per'.|reject
49;7432915|B'duis' b'ad'.|accept;7432966|B'orci' b'et' b'a' b'dolor' b'feugiat' b'ornare'.|reject;7433001|B'nibh' b'ac'.|accept
50;7432897|B'diam' b'eu'.|accept;7432893|B'pede' b'eu' b'a' b've' b'a' b'est' b'a' b'dapibus' b'a' b've' b'conubia'.|accept;7433021|B'arcu' b'et' b'ad' b'ac'.|reject
51;7432962|B'odio' b'in'.|accept;7432972|B'nunc' b'et' b'quis' b'a' b'cum' b'a' b'netus' b'a' b'a'.|reject;7433063|B'nisl' b'at' b'a' b'id' b'a' b'sapien' b'ad' b'a' b'sem' b'a' b'a' b'ipsum' b'id' b'a'.|accept
52;7433084|B'arcu' b'in' b'a' b'a' b'a' b'enim' b'a' b'a'.|accept;7432974|B'nisi' b'id' b'a' b'leo' b'a' b'porta' b'nec' b'a' b'quis'.|accept;7433103|B'odio' b'ad' b'ut' b'sit' b'eget' b'a'.|reject
53;7432903|B'erat' b'in' b'ac' b'sagittis'.|accept;7433035|B'nisi' b'ut' b've' b'neque' b'a' b'ante' b'ac'.|reject;7433057|B'nisi' b'eu' b'a' b'a' b'est'.|accept
54;7432996|B'quam' b'et' b'ac' b'sit' b'libero' b'a' b'lectus' b'in' b'a' b'nisi' b'quis' b'metus' b'a' b'a'.|accept;7433003|B'ante' b'mi' b'a' b'montes' b'mus' b'eu' b'blandit' b'a'.|reject;7432928|B'odio' b'in' b'a'.|accept
55;7432934|B'eros' b'at' b'ad'.|accept;7433099|B'eget' b'mi'.|accept;7433004|B'elit' b'at' b'a' b'a' b'leo' b'ornare' b've' b'et' b'a' b'ut' b'potenti' b'placerat' b'eni'.|reject
56;7432927|B'ante' b'et' b'a' b'cursus' b'congue'.|accept;7432985|B'cras' b'id' b'a' b'a' b'nam' b'a' b'a' b'hymenaeos' b'consectetuer'.|accept;7432991|B'nibh' b'in' b'quis' b'a' b'a' b'eu' b'a' b'mus' b'id' b'ante'.|reject
57;7432991|B'nisi' b'ut' b'a' b'in' b'aliquet' b'massa' b'in' b'a'.|accept;7433024|B'quis' b'ad' b've'.|accept;7432880|B'urna' b've'.|reject
58;7433057|B'amet' b'at' b'a' b'ad' b'vel' b'blandit' b'purus' b'a' b'a' b'a' b'sem'.|accept;7432931|B'nisi' b'ad'.|reject;7433105|B'elit' b'ad' b'et' b'a' b'a'.|accept
59;7433016|B'elit' b'at'.|reject;7432892|B'eros' b'ad' b'mi' b'a'.|accept;7432981|B'odio' b'et' b'a' b'et' b'a' b'ad'.|accept
60;7432983|B'elit' b'ut'.|accept;7432877|B'eros' b'et' b'ut' b'dui' b'a' b'a' b'fusce' b'a' b'vel' b'curae' b'potenti' b'mollis'.|reject;7433057|B'enim' b'mi'.|accept
61;7433002|B'nibh' b'at' b'a' b'nibh' b'a' b'a' b'eni' b'cum'.|reject;7433068|B'duis' b'at' b'eu' b'a' b'praesent' b'a'.|accept;7432939|B'odio' b'eu' b'a' b'a' b've' b'ad' b'morbi' b'et' b'a' b'non' b'a' b'a'.|accept
62;7432969|B'nunc' b've' b'a' b'libero' b'mi' b'a' b'a' b'ac' b'quam' b'hac' b'id' b'fames' b've'.|accept;7433093|B'quis' b'ut' b'a' b'hac' b'a'.|accept;7432955|B'erat' b'eu' b'arcu'.|reject
63;7432931|B'nunc' b'at' b've' b'per' b'id' b'et' b'eni' b'cum' b'neque' b'cursus' b'a'.|accept;7433058|B'urna' b'eu'.|accept;7432955|B'nunc' b'in'.|reject
64;7433042|B'erat' b'ut' b'a' b'nec' b'a' b'ipsum' b'a' b'sit' b'risus' b'congue' b'a' b'a' b'habitasse' b'a' b'nibh' b'a'.|accept;7433045|B'ante' b'eu' b'a' b'sed' b'elit' b'diam' b'a' b'a' b'a' b'id'.|accept;7432866|B'cras' b'mi' b'amet' b'arcu' b'a'.|reject
65;7432914|B'nisl' b'ad' b'a' b'est' b'a' b'sed' b'eros'.|accept;7432995|B'diam' b'in'.|accept;7432941|B'elit' b'at' b'a' b'a'.|reject
66;7432959|B'arcu' b've' b'a' b'vel' b'a' b'rhoncus' b'a' b'ut'.|reject;7433072|B'amet' b'et' b'a' b'elit' b'a' b'a' b'luctus' b'porta'.|accept;7433066|B'eros' b'ac' b'a' b'augue' b'morbi' b'sollicitudin' b'aliquet' b'urna' b'a'.|accept
67;7432992|B'quam' b've' b'a' b'in' b'a' b'est' b'quam' b'a'.|accept;7432952|B'eget' b'at' b'a' b'id' b'amet' b'est' b'a' b'cras' b'eni' b'a' b'facilisis'.|accept;7432915|B'orci' b'eu'.|reject
68;7433095|B'enim' b'ut' b'a' b'a' b'at' b'morbi' b'a' b'consectetuer' b'dis' b'a'.|reject;7432904|B'cras' b've' b'a' b'purus' b'nisi' b'in' b'a' b'nam' b'scelerisque' b'a' b'eu' b've' b'sit' b'felis' b'a'.|accept;7433065|B'erat' b'id' b'a' b'pede' b'eu' b'a' b'a'.|accept
69;7432871|B'nisl' b've' b'a' b'eu' b'conubia' b'faucibus'.|reject;7433009|B'ante' b'ut' b'eu' b'ipsum' b'a' b'diam' b'a' b'non'.|accept;7432916|B'nisl' b'et' b'a'.|accept
70;7432913|B'nibh' b'at'.|reject;7433027|B'diam' b'ac' b'a' b'eni' b'urna'.|accept;7432872|B'nisi' b'id' b'a' b'nibh' b'a' b'cum' b'a' b'a'.|accept
71;7433040|B'ante' b'ut' b'a' b'maecenas' b'a' b'leo' b'a'.|reject;7432970|B'nunc' b'ac'.|accept;7432947|B'elit' b'eu' b'pretium' b'proin' b'a' b'nec' b'a' b'neque' b'est' b'dui' b'pede' b'a' b'ut'.|accept
72;7432907|B'amet' b'in' b'ad' b'sem' b'a' b'a' b'sed' b'cursus' b'vivamus'.|reject;7433069|B'nisl' b'ad'.|accept;7433096|B'amet' b'ac'.|accept
73;7432901|B'duis' b'id' b'a' b'a' b'a' b'risus'.|reject;7432963|B'quis' b'in' b'a' b'a' b'ac' b'eni' b'sem' b'ut' b'a' b'leo'.|accept;7432872|B'ante' b've'.|accept
74;7433062|B'ante' b'ut'.|accept;7433042|B'pede' b'in' b'pretium' b'quam' b'a' b'libero' b'nam' b'proin' b'integer' b'sit' b'a'.|reject;7433013|B'duis' b'ad'.|accept
75;7432988|B'ante' b'ac' b'a' b'a' b'ut'.|reject;7432972|B'quam' b'ut' b'at' b'litora' b'nam' b'sodales' b'justo'.|accept;7432949|B'nisi' b'ad' b'a' b'curae' b'nisi' b'ultricies' b'cum' b'a' b'pede'.|accept
76;7433086|B'eget' b'id' b'et' b'per' b'a' b'per' b'a'.|accept;7432970|B'nunc' b've' b'a' b'a' b'a'.|reject;7432981|B'eget' b'ut' b'a'.|accept
77;7433100|B'urna' b'eu' b'a' b'est' b'felis' b'magna' b'pellentesque' b'laoreet'.|reject;7433003|B'nisi' b'ac' b'ad' b'a' b'a' b'mi'.|accept;7433106|B'elit' b've' b'amet' b'a' b'platea' b'a' b'nibh' b'a' b'dis' b'ac'.|accept
78;7433106|B'diam' b'at' b'a' b'interdum' b'consectetuer' b'nunc' b'a' b'a' b've' b'lectus' b'est'.|accept;7433061|B'erat' b'in' b'rhoncus' b'quam' b'a' b'netus' b'a' b'habitasse' b'a'.|accept;7432994|B'duis' b'mi' b'a' b'a' b'a' b'a' b'a' b'montes' b'a' b'enim' b'a' b'non'.|reject
79;7433062|B'quam' b've' b'ad' b'quis' b'a' b'a' b'a' b'rutrum' b'purus' b'per' b'eni' b'a' b'eget' b'a' b'a'.|reject;7433108|B'diam' b'eu'.|accept;7433006|B'pede' b've' b'a' b'dis' b'erat' b'a' b'a'.|accept
80;7432907|B'diam' b'ad'.|reject;7432972|B'cras' b'in' b'blandit' b'purus' b'in' b'ligula'.|accept;7432924|B'quam' b'mi' b'a' b'id' b'sed' b'a' b'non' b'mattis' b'a' b'tellus' b'urna' b'vulputate'.|accept
81;7432897|B'duis' b'id' b'natoque' b'risus' b'cras' b'etiam' b'a' b'senectus' b'a'.|accept;7433089|B'enim' b'et' b'ut' b'mus' b'et' b'vehicula' b'a' b'sit' b'nibh' b'a' b'a' b'a' b'a'.|reject;7433018|B'diam' b'at' b'a' b'a' b'primis' b'per' b'ut'.|accept
82;7433028|B'odio' b'ac'.|accept;7432872|B'nisl' b'mi' b'a'.|accept;7432982|B'nisl' b've' b'a' b'est' b'a' b'ornare' b'ad' b'a'.|reject
83;7432959|B'amet' b'eu' b'a' b'erat' b'a' b'a' b'mus' b'a' b'a'.|accept;7432925|B'amet' b'ac' b'a' b'a' b'a' b'ipsum' b'a' b'a' b'a' b'ad'.|accept;7433008|B'orci' b'et' b'a' b'urna' b'nec' b'a' b'erat' b'risus' b'a' b'eros' b'a' b'vulputate' b'a' b'arcu' b'a'.|reject
84;7433057|B'nisi' b've' b'a' b'duis' b'a' b'dis' b'id' b'potenti' b'velit' b'et'.|accept;7433081|B'erat' b'in' b'ad' b'a' b'a' b'proin' b'nam' b'gravida' b'habitasse' b'arcu'.|accept;7432987|B'nisl' b'at' b'a' b'a' b'a' b'ac' b'sit'.|reject
85;7432930|B'eget' b'ad' b'cubilia' b'netus' b'a' b'sem' b'a' b'nisl'.|reject;7432959|B'nisl' b'ac' b'a'.|accept;7433029|B'enim' b've' b'a' b'a' b'donec' b'varius' b'a' b'at'.|accept
86;7433022|B'odio' b'et' b'eu' b'sed' b'non' b'quam' b'nisl' b'et' b'a' b'at' b'urna' b'est'.|accept;7432865|B'nisl' b'eu'.|accept;7433098|B'quis' b'at' b'a' b'lorem' b'a' b'lacus' b'a' b'urna' b'fusce' b'at' b'nibh' b'a' b'lectus' b'a' b'a' b'lorem'.|reject
87;7433093|B'amet' b'ut' b'a' b'a' b'semper' b'proin' b'ut' b'a' b'elit' b'a'.|reject;7432950|B'eros' b'ut' b'a'.|accept;7432869|B'erat' b'at'.|accept
88;7433055|B'odio' b'ut' b'a' b'a' b'sodales'.|accept;7432943|B'nisi' b've' b'natoque' b'a' b'leo' b'auctor' b'magnis' b'consectetuer'.|accept;7433100|B'erat' b'ut'.|reject
89;7432960|B'diam' b'id' b'a' b'a'.|accept;7433076|B'amet' b'in' b'a' b'nostra' b'in' b'a' b'hac' b'a' b'quis' b'a' b'sociis' b'a'.|accept;7432959|B'nibh' b'mi'.|reject
90;7433057|B'arcu' b'ac' b'in' b'a'.|reject;7432965|B'eget' b'ad' b'et' b've' b'nam' b'mi' b'a' b'est'.|accept;7433080|B'orci' b'mi' b'a' b'congue' b'ut' b'a' b'ut' b'mus' b'eu' b'a' b'a' b'mi'.|accept
91;7433036|B'enim' b'ut' b'gravida'.|accept;7432865|B'cras' b'ad' b'a' b'ut' b'turpis' b'ac' b'a' b'sed' b'eros' b'a' b'netus' b'lacinia'.|reject;7432963|B'diam' b'ut' b'in' b'a' b'duis' b'a' b'a'.|accept
92;7433105|B'diam' b'at' b'a' b'ac' b'hac' b'a' b'a' b'class' b'sed'.|accept;7433035|B'quam' b'eu'.|reject;7432912|B'nisl' b'at' b'a' b'a' b'a' b'dui' b'diam' b'congue' b'a' b'a'.|accept
93;7432884|B'cras' b'ut' b'a' b'litora' b'a' b'turpis' b'a'.|reject;7433034|B'quam' b'ac' b've' b'a' b'dolor' b'libero' b'a'.|accept;7433018|B'nibh' b'at' b'a' b'platea'.|accept
94;7432958|B'ante' b'ad' b'ut' b'a' b'erat' b'a' b'auctor'.|reject;7432886|B'nisl' b'at' b'a' b'a' b'a' b'a' b'a' b'fermentum' b'in' b'a' b'velit' b'eu' b'at' b'eget' b'urna'.|accept;7433002|B'orci' b'ad'.|accept
95;7432974|B'eros' b'eu' b'a' b'varius' b'class' b'a'.|accept;7432983|B'quis' b'in' b'a'.|accept;7432922|B'enim' b'id' b'a' b'nostra' b've'.|reject
96;7433076|B'eget' b've'.|accept;7432878|B'nisl' b'ad' b'a' b'est' b'tempus' b've' b'a' b'a' b'ac'.|reject;7432922|B'nunc' b'eu' b'a'.|accept
97;7432904|B'quis' b'ut' b'a' b'eget' b'a' b'a' b'a' b'eu'.|reject;7432965|B'orci' b'ad' b'a' b'a'.|accept;7433032|B'arcu' b'id' b'a' b'nec' b'varius' b'a' b'curabitur' b'eni' b've' b'iaculis' b'augue' b'a' b'montes' b'a' b'leo'.|accept
98;7433070|B'quis' b'eu' b'mi' b'pede' b'nibh' b'a' b'a' b'ad' b'tortor' b'a' b'a' b'a' b'a' b'ante' b'a' b'a'.|accept;7432877|B'ante' b'eu'.|accept;7432974|B'urna' b'eu' b'a' b'sem' b'mollis' b'a' b'nec'.|reject
99;7432981|B'elit' b'in' b'a' b'ac' b'a' b'aptent' b'in' b'a' b'a'.|accept;7433039|B'quis' b'ad' b'a'.|accept;7432986|B'orci' b'ad' b'a'.|reject
100;7432883|B'nisi' b'id' b'ad' b'dis'.|accept;7432981|B'eget' b'mi'.|reject;7432885|B'elit' b'id'.|accept
101;7432878|B'arcu' b'in' b'mi' b'habitant' b'a' b'non' b'a' b'a'.|accept;7432963|B'urna' b'ac' b'a' b'hac' b'a' b'a'.|accept;7433073|B'quis' b'eu'.|reject
102;7432966|B'eros' b'eu' b'a'.|accept;7432964|B'elit' b'in' b'commodo' b'netus' b've'.|accept;7432875|B'duis' b'ut' b'orci' b'leo'.|reject
103;7433022|B'nisl' b'ut' b'a' b'dictum' b'a' b'nisi' b'a' b'a' b'a' b'id' b'a'.|accept;7433038|B'nisl' b'mi' b'nonummy' b'accumsan' b'per' b'a' b'a'.|reject;7432969|B'eget' b'ad' b'a' b'dui' b'ullamcorper' b'a' b'ad' b'cursus' b'a' b'a' b'quis'.|accept
104;7432888|B'quis' b'ac' b'a' b'etiam' b'per' b'a' b'eget' b'a' b'a'.|accept;7433023|B'nunc' b'et' b'ut' b'a' b've' b'id' b'accumsan' b'a' b'eni' b'vel'.|accept;7432962|B'amet' b'eu'.|reject
105;7432868|B'erat' b'eu' b'et' b'ut' b'nec' b'est' b'id' b'torquent' b'a' b'a'.|accept;7433002|B'ante' b've' b'id' b'eu' b'a' b'a' b'a' b'a' b'a'.|reject;7432962|B'arcu' b'ac' b'a' b'a' b'a' b'a' b'cubilia' b'a' b'sociis'.|accept
106;7433010|B'nunc' b'ac'.|accept;7433033|B'quam' b'eu' b'a' b'est' b'augue' b'a' b'a' b'a' b'rutrum'.|accept;7433015|B'amet' b'id' b'a'.|reject
107;7432918|B'eros' b'ac' b'a' b'a' b'a' b'a' b'a' b'a' b'eget'.|accept;7433016|B'quis' b'ut' b'viverra' b'enim' b'a' b'porta' b'ut' b'a' b'a' b'a' b'a' b've' b'a' b'turpis' b'duis'.|reject;7432904|B'odio' b'id'.|accept
108;7432918|B'quis' b'at' b'a' b'velit' b'est'.|reject;7433000|B'erat' b'mi' b'a' b'primis' b'a' b'a'.|accept;7433110|B'elit' b'ad'.|accept
109;7433074|B'duis' b'et'.|accept;7432998|B'erat' b've' b'a' b'a'.|reject;7433095|B'enim' b'at' b'a' b'augue' b'a' b'a' b'dui' b'a' b'arcu' b'a' b'mi' b'hymenaeos' b'semper' b'ad'.|accept
