articleID;reviewerID
251;7432941|7433096|7433044
252;7432963|7433110|7433107
253;7433023|7433032|7432963
254;7433091|7433087|7433092
255;7432963|7433046|7432925
256;7433076|7432987|7432914
257;7433113|7433045|7432886
258;7432999|7433000|7432944
259;7433008|7433106|7432959
260;7432888|7432866|7432869
261;7433090|7433072|7432930
262;7432865|7433084|7432933
263;7433031|7432927|7433110
264;7432978|7432956|7432900
265;7432918|7433064|7432942
266;7432878|7433024|7433007
267;7433066|7432976|7432974
268;7432970|7433086|7432930
269;7433072|7433092|7432961
270;7433058|7432966|7432918
271;7432886|7433004|7433072
272;7432887|7433070|7432883
273;7433085|7432983|7432982
274;7433020|7433021|7433061
275;7432904|7432930|7432869
276;7432964|7433068|7432910
277;7432984|7433077|7433050
278;7432930|7432920|7432902
279;7432939|7433046|7432974
280;7433008|7432952|7433108
281;7432932|7433039|7432959
282;7433107|7432887|7432977
283;7432897|7433032|7433068
284;7432875|7432946|7433004
285;7432942|7432896|7432918
286;7432946|7433069|7433079
287;7432984|7433071|7433080
288;7433004|7433048|7433041
289;7433072|7432918|7432925
290;7432984|7432994|7433062
291;7432888|7433027|7433049
292;7432957|7433005|7432950
293;7433107|7433030|7432909
294;7433086|7432979|7432880
295;7432944|7433048|7433091
296;7432961|7432986|7433016
297;7433113|7433004|7432997
298;7432963|7432973|7433076
299;7432879|7433027|7433007
300;7432881|7432942|7432925
301;7432919|7432965|7433078
302;7432943|7432944|7433003
303;7432915|7432989|7433061
304;7433109|7432969|7432880
305;7432875|7433000|7433093
306;7432947|7433095|7432939
307;7433107|7432937|7433086
308;7433021|7432926|7432896
309;7432935|7433090|7432918
310;7433038|7432922|7433086
311;7433024|7433067|7433022
312;7433035|7432944|7432868
313;7432999|7433046|7433097
314;7432942|7433107|7433072
315;7433097|7432939|7433071
316;7432873|7432990|7432974
317;7432866|7433080|7433061
318;7432964|7433108|7432881
319;7432977|7432897|7433074
320;7432995|7433051|7433090
321;7432934|7432932|7432995
322;7433043|7433087|7433107
323;7433024|7433061|7433037
324;7432969|7433052|7433091
325;7433109|7432922|7432956
326;7433048|7433004|7432959
327;7432875|7432911|7433041
328;7432893|7433109|7432878
329;7432952|7433071|7433014
330;7433074|7433055|7432954
331;7433024|7433107|7433052
332;7432967|7432958|7432873
333;7433065|7433080|7433112
334;7433080|7432867|7433097
335;7432984|7433085|7432958
336;7433013|7432972|7432983
337;7433074|7433060|7432991
338;7433074|7432883|7432970
339;7432909|7433063|7432985
340;7433023|7432920|7432960
341;7432910|7432928|7432922
342;7432965|7432982|7432908
343;7433042|7433072|7433007
344;7432994|7433069|7432870
345;7432911|7432942|7432999
346;7433032|7433101|7432885
347;7432977|7433047|7432964
348;7432895|7432910|7432924
349;7432923|7433050|7432909
350;7432981|7433047|7432916
351;7432961|7433103|7432900
352;7432932|7432953|7432912
353;7433108|7432949|7432891
354;7432992|7433080|7432872
355;7432978|7432988|7433030
356;7433051|7432924|7432993
357;7433067|7433002|7433104
358;7432904|7433075|7432900
359;7432884|7432879|7432913
360;7433064|7433034|7432917
361;7432945|7432910|7433072
362;7433029|7432997|7433038
363;7433071|7432971|7433009
364;7432998|7433059|7432912
365;7432995|7433057|7433069
366;7432897|7432979|7433017
367;7432991|7432876|7432905
368;7433060|7432983|7433021
369;7432905|7432930|7432948
370;7432874|7432952|7432985
371;7433070|7432915|7432969
372;7433077|7433092|7433071
373;7433030|7432943|7432921
374;7433103|7432877|7433098
375;7432971|7432871|7433048
376;7432897|7432971|7433092
377;7433043|7433101|7432881
378;7432926|7433030|7432891
379;7432948|7433013|7432986
380;7433043|7433036|7433079
381;7433073|7432965|7432932
382;7433040|7432970|7433054
383;7433046|7432895|7432978
384;7432900|7432877|7433061
385;7433039|7432897|7432889
386;7432940|7433003|7433088
387;7432907|7433058|7433111
388;7432908|7432943|7432925
389;7432939|7433002|7432890
390;7433012|7432901|7433089
391;7432919|7432926|7433082
392;7433093|7432975|7432970
393;7432987|7432896|7432960
394;7432873|7432996|7432880
395;7433004|7433096|7433032
396;7432968|7432985|7433075
397;7433049|7433067|7432875
398;7432908|7432940|7433023
399;7432965|7432952|7432939
400;7432973|7433052|7432972
401;7432964|7432960|7432961
402;7432870|7432952|7432935
403;7432982|7432926|7432951
404;7433105|7432941|7432926
405;7433066|7432868|7432955
406;7432868|7432997|7433001
407;7433049|7432944|7432868
408;7433058|7432872|7432866
409;7432982|7432870|7432905
410;7432886|7433056|7433088
411;7432877|7432900|7432950
412;7433026|7433093|7432866
413;7433016|7433021|7433017
414;7432870|7432993|7432885
415;7432971|7432992|7433097
416;7433040|7433069|7432990
417;7432995|7432993|7433106
418;7432898|7432978|7433020
419;7432898|7432946|7432902
420;7433085|7432966|7432927
421;7432969|7432920|7432977
422;7432977|7432946|7432983
423;7432908|7433015|7432970
424;7432966|7433040|7432945
425;7432880|7432951|7433105
426;7433055|7432953|7433076
427;7433013|7433092|7433043
428;7433007|7432998|7433069
429;7432887|7432978|7433088
430;7433106|7432872|7433063
431;7432901|7433034|7433010
432;7432935|7433100|7432918
433;7433055|7433058|7433059
434;7433104|7433058|7433009
435;7433110|7433103|7432989
436;7432909|7433029|7433074
437;7433109|7432951|7432941
438;7433102|7433016|7433089
439;7433059|7433110|7433017
440;7432926|7433079|7433052
441;7433092|7433020|7433074
442;7433103|7433000|7433064
443;7432890|7432883|7432905
444;7433084|7433076|7432893
445;7432871|7432939|7432895
446;7432868|7432874|7432964
447;7432932|7433027|7432893
448;7433004|7433084|7432981
449;7432920|7433056|7433103
450;7433089|7432873|7432992
451;7433092|7433011|7433004
452;7432888|7433074|7433006
453;7432954|7432907|7432996
454;7432909|7432866|7433085
455;7432996|7432935|7432902
456;7433024|7432996|7432964
457;7433108|7433092|7432870
458;7433015|7433005|7432936
459;7432890|7433112|7433071
460;7433031|7433046|7432898
462;7433108|7433075|7433047
463;7433047|7433094|7433014
464;7432886|7433091|7432913
465;7432918|7433002|7432942
466;7432989|7432942|7432904
467;7432926|7432956|7433093
468;7433019|7433112|7432905
469;7433042|7432924|7432959
470;7433051|7433101|7433044
471;7432941|7432930|7432924
472;7432951|7432948|7433051
473;7432991|7433011|7432872
474;7432911|7432977|7432934
475;7433012|7433072|7433095
476;7432891|7433038|7433092
477;7433037|7432973|7433074
478;7433030|7432891|7433015
479;7432893|7433078|7433027
480;7432875|7433017|7432934
481;7432956|7433109|7432894
482;7432991|7433072|7432942
483;7432921|7432953|7432949
484;7432890|7432997|7432920
485;7432983|7432915|7432993
486;7433097|7433070|7432913
487;7433022|7433010|7432932
488;7432925|7432955|7432997
489;7433055|7432932|7432996
490;7432893|7432997|7433025
491;7433002|7432944|7433085
492;7433097|7433018|7432875
493;7432947|7432973|7432977
494;7432946|7432981|7433017
495;7433067|7432927|7432966
496;7433006|7433093|7433022
497;7433069|7432885|7432917
498;7433076|7433087|7432937
499;7433065|7432903|7432881
500;7433029|7432966|7433082
501;7432866|7432927|7432977
502;7432893|7433010|7432937
503;7432880|7432872|7432968
504;7433111|7432980|7433047
505;7433015|7432971|7433051
506;7433043|7432968|7433050
507;7433014|7433028|7432913
508;7433070|7433064|7432896
509;7433002|7433003|7433074
510;7433087|7433034|7432880
511;7432982|7433090|7432903
512;7432952|7432931|7433108
513;7433090|7432916|7432877
514;7432948|7433039|7432961
515;7432983|7433063|7433044
516;7432934|7433096|7433081
517;7433112|7433113|7432991
518;7432945|7432966|7433024
519;7432987|7432927|7433085
520;7433040|7433069|7432881
521;7433022|7432975|7432937
522;7432979|7432929|7433034
523;7433030|7432909|7433093
524;7433033|7432957|7433113
525;7432980|7432977|7433062
526;7433094|7433003|7432990
527;7432927|7432953|7433076
528;7432971|7432972|7433092
529;7432913|7432985|7432867
530;7432945|7432943|7432980
531;7432950|7433085|7432898
532;7432995|7432927|7433077
533;7432974|7432968|7433091
534;7432984|7432979|7433082
535;7433031|7432879|7432872
536;7432917|7433083|7432963
537;7433105|7432891|7432990
538;7433064|7432913|7432932
539;7432897|7433056|7432886
540;7432964|7433011|7432966
541;7432991|7433083|7432932
542;7432955|7432983|7432942
543;7432926|7433060|7433005
544;7433035|7433040|7432934
545;7432930|7432957|7432985
546;7432941|7432968|7432874
547;7433111|7432900|7432976
548;7432865|7432891|7432926
549;7432939|7433095|7433025
550;7432915|7433101|7432953
551;7432907|7433043|7433083
552;7432999|7433097|7432976
553;7432916|7432909|7432937
554;7433098|7433078|7433091
570;7432888|7432968|7432915
573;7433014|7432975|7433057
574;7433024|7433028|7433063
575;7432908|7433013|7432868
576;7432907|7432920|7432871
577;7433020|7432914|7432959
579;7433035|7432895|7432997
580;7433027|7433068|7432926
581;7432870|7433099|7433029
583;7433004|7432886|7432879
584;7432965|7432983|7432943
585;7433022|7432916|7433107
27893;7433046|7432937|7433010
27894;7433069|7433005|7433076
27895;7432904|7432926|7432939
27896;7432995|7432923|7433050
27897;7433112|7433072|7432913
27898;7432967|7432968|7432940
27899;7433101|7432901|7432926
27900;7433033|7432899|7433034
27901;7432981|7432866|7432987
27902;7433104|7432893|7432959
27903;7432996|7433039|7432932
27904;7433113|7433020|7433062
27905;7432991|7433010|7432897
27906;7433055|7432965|7433002
27907;7432956|7432938|7433018
27908;7433049|7432881|7432903
27909;7433084|7432984|7432867
27910;7432936|7433078|7433003
27911;7432915|7433086|7433082
27912;7433061|7433076|7432987
27913;7432956|7432872|7433092
27914;7432902|7432937|7433085
27915;7432949|7433005|7432972
27916;7433024|7432965|7432950
27917;7432901|7433066|7433113
27918;7433105|7432949|7433055
27919;7432937|7432871|7433086
27920;7432912|7432943|7432921
27921;7433014|7433019|7432956
27922;7433095|7433081|7433113
27923;7433082|7432959|7432881
27924;7432867|7432872|7433060
27925;7432973|7433003|7432953
27926;7433090|7433054|7433112
27927;7432865|7433026|7433012
27928;7432886|7432935|7433057
27929;7433106|7432915|7433040
27930;7432977|7433010|7433061
27931;7432923|7432882|7432970
27932;7433111|7432889|7433100
27933;7433092|7432912|7433052
27934;7433014|7432976|7432954
27935;7432981|7432998|7432887
27936;7432934|7432937|7433011
27937;7433022|7433109|7432979
27938;7432877|7432961|7432994
27939;7432926|7432905|7432979
27940;7433103|7432865|7433086
27941;7433098|7432880|7432902
27942;7432923|7432980|7432996
27943;7432866|7432931|7432886
27944;7433034|7432876|7432933
27945;7432996|7432869|7433090
27946;7432949|7433106|7433009
27947;7432898|7432972|7433062
27948;7433014|7432938|7432879
27949;7433083|7433015|7433084
27950;7432879|7432954|7433083
27951;7432900|7433100|7433081
27952;7433091|7432890|7432957
27953;7433038|7432900|7433065
27954;7433031|7433080|7432952
27955;7432977|7432952|7433036
27956;7433015|7433097|7433096
27957;7432886|7432914|7432868
27958;7433080|7433044|7433111
27959;7433015|7433085|7433112
27960;7433054|7432928|7432915
27961;7432985|7432921|7433061
27962;7433018|7433113|7432962
27963;7433092|7432933|7432986
27964;7433054|7432918|7432867
27965;7432978|7432912|7433069
27966;7432956|7432955|7432912
27967;7433047|7432882|7433097
27968;7432875|7432915|7433017
27969;7432974|7432890|7433056
27970;7433026|7432882|7432957
27971;7433016|7432996|7433091
27972;7433053|7432866|7432868
27973;7432968|7432983|7433082
27974;7433105|7433047|7432984
27975;7433108|7432939|7433047
27976;7432952|7432915|7432983
27977;7433069|7432900|7433072
27978;7433070|7433105|7433008
27979;7432906|7433017|7432965
27980;7433033|7432904|7432970
27981;7432958|7433090|7433046
27982;7432990|7433094|7433100
27983;7432991|7432914|7432879
27984;7432867|7433036|7432956
27985;7432888|7432939|7433111
27986;7432993|7433062|7433022
27987;7433037|7432962|7433020
27988;7433024|7433006|7432903
27989;7433094|7432971|7432924
27990;7432920|7432875|7432950
27991;7432954|7432997|7433102
27992;7432887|7432921|7432874
27993;7432950|7432870|7432914
27994;7432974|7432980|7433083
27995;7432909|7433017|7432898
27996;7432889|7432927|7433059
27997;7433063|7433092|7432912
27998;7432895|7433057|7432944
27999;7433073|7433089|7432904
28000;7432980|7432961|7432892
28001;7433088|7432883|7432938
28002;7433006|7433085|7433088
28003;7433031|7433065|7432977
28004;7433092|7433056|7433097
28005;7433080|7433030|7433100
28006;7433040|7433000|7432992
28007;7433085|7433011|7433006
28008;7432998|7432976|7432928
28009;7432901|7432922|7432897
28010;7433101|7432963|7433004
28011;7433089|7432956|7433074
28012;7432966|7433089|7432932
28013;7433065|7432910|7432985
28014;7432902|7433112|7432950
28015;7432966|7432930|7432980
28016;7433073|7432903|7432955
28017;7433012|7432901|7432949
28018;7433074|7432953|7432952
28019;7432865|7433064|7432997
28020;7432918|7433102|7432963
28021;7432948|7432869|7432969
28022;7433074|7433069|7433041
28023;7432895|7432930|7433109
28024;7433050|7432891|7433111
28025;7432937|7433032|7433002
28026;7433080|7433091|7432954
28027;7433083|7433112|7432934
28028;7432982|7432921|7433049
28029;7432915|7433047|7432984
28030;7432901|7432903|7433081
28031;7432883|7433104|7433016
28032;7432871|7433061|7433046
28033;7432966|7432978|7433045
28034;7432940|7433061|7432978
28035;7433060|7433012|7433068
28036;7433078|7432996|7432887
28037;7433063|7433110|7433039
28038;7432968|7432928|7433069
28039;7433107|7432925|7432927
28040;7433011|7432894|7433005
28041;7433047|7433087|7432877
28042;7432918|7432924|7433079
28043;7433038|7433050|7432977
28044;7433092|7433032|7432985
28045;7432998|7432960|7433100
28046;7432907|7433049|7432979
28047;7433109|7433112|7433001
28048;7433104|7432936|7432906
28049;7433094|7432943|7433061
28050;7433070|7432980|7432898
28051;7432930|7432871|7432917
28052;7432995|7432956|7433099
28053;7433048|7433061|7433052
28054;7433027|7433071|7432972
28055;7432914|7432986|7432975
28056;7432986|7433105|7432911
28057;7432976|7433017|7432932
28058;7432865|7433046|7433077
28059;7433003|7432998|7433107
28060;7433008|7432914|7432931
28061;7432913|7432994|7432961
28062;7432928|7432946|7433109
28063;7432964|7432993|7433079
28064;7432948|7432977|7432878
28065;7433009|7432867|7433015
28066;7433023|7433042|7432966
28067;7432994|7432899|7432908
28068;7433044|7433024|7433075
28069;7433090|7432897|7432945
28070;7433084|7433030|7433101
28071;7432989|7433072|7432920
28072;7432886|7432866|7432984
28073;7433049|7432889|7432983
28074;7432906|7432991|7432884
28075;7432947|7433017|7433032
28076;7433082|7433100|7432970
28077;7432927|7432946|7432892
28078;7432987|7432968|7432980
28079;7432990|7432874|7433109
28080;7432911|7433075|7433102
28081;7432882|7432956|7433082
28082;7433078|7432977|7432944
28083;7433020|7432967|7433022
28084;7433078|7432943|7432937
28085;7433066|7432911|7432997
28086;7432946|7432973|7432955
28087;7433074|7433056|7433086
28088;7433078|7433109|7432893
28089;7433077|7432989|7433052
28090;7433078|7433043|7433063
28091;7433099|7432895|7432923
28092;7432879|7433066|7433102
28093;7432878|7432978|7433024
28094;7433097|7432888|7433076
28095;7433052|7432876|7433054
28096;7433039|7432945|7433004
28097;7432934|7433019|7433046
28098;7433015|7433070|7432995
28099;7433083|7432982|7432947
28100;7432896|7433072|7433000
28101;7433039|7432884|7433096
28102;7432985|7433067|7432905
28103;7432865|7432995|7432951
28104;7432974|7432937|7433058
28105;7432908|7432866|7432882
28106;7433006|7433014|7432919
28107;7432935|7432929|7432945
28108;7433013|7432941|7433071
28109;7432874|7433002|7433010
28110;7432955|7433058|7433040
28111;7432963|7432939|7432907
28112;7432992|7432870|7432935
28113;7433103|7432949|7433104
28114;7432907|7432897|7433090
28115;7433072|7432992|7433029
28116;7432935|7432875|7433086
28117;7433071|7432924|7433020
28118;7432900|7433038|7432897
28119;7432951|7432944|7432979
28120;7433095|7432928|7432892
28121;7433035|7433057|7432865
28122;7433060|7433111|7432924
28123;7432981|7433009|7432989
28124;7433039|7432980|7433034
28125;7433010|7432869|7433056
28126;7433066|7433027|7433055
28127;7433009|7433091|7433069
28128;7433038|7432924|7432989
28129;7433072|7433039|7432880
28130;7432912|7433063|7432962
28131;7433059|7432918|7432867
28132;7432908|7433081|7433062
28133;7432894|7432982|7433093
28134;7433106|7432960|7432946
28135;7432905|7432922|7432885
28136;7433100|7432917|7433073
28137;7432922|7433034|7433032
28138;7433109|7433075|7433093
28139;7433020|7432867|7432970
28140;7432928|7433052|7432907
28141;7433060|7432868|7433104
28142;7433031|7432938|7432867
28143;7432966|7432899|7433067
28144;7433096|7432888|7433000
28145;7432903|7432884|7433001
28146;7433049|7433019|7432891
28147;7433072|7432886|7432896
28148;7432900|7432978|7433084
28149;7433096|7432936|7432921
28150;7432914|7433035|7432958
28151;7432992|7433105|7432965
28152;7432914|7432890|7432932
28153;7433039|7432967|7433101
28154;7433039|7433047|7432941
28155;7433086|7432986|7432909
28156;7432865|7433102|7433077
28157;7433003|7433054|7433030
28158;7432893|7433073|7433080
28159;7433022|7432914|7432946
28160;7432922|7432964|7432886
28161;7432992|7432908|7433060
28162;7432984|7432888|7433045
28163;7432935|7433070|7432975
28164;7433095|7432872|7433061
28165;7432930|7432979|7432921
28166;7432885|7433004|7433000
28167;7432934|7433081|7433006
28168;7432975|7433065|7432904
28169;7433106|7433063|7433075
28170;7432968|7433082|7433060
28171;7433066|7432924|7433037
28172;7433030|7432912|7433068
28173;7432874|7433075|7433025
28174;7432979|7433002|7432932
28175;7432979|7433029|7432903
28176;7432910|7432976|7432902
28177;7432872|7432894|7432875
28178;7433047|7433025|7433093
28179;7433036|7433046|7432892
28180;7432878|7433031|7432949
28181;7433102|7432908|7432965
28182;7432921|7433048|7432992
28183;7432995|7433041|7432896
28184;7433044|7432967|7433086
28185;7433098|7433066|7432943
28186;7433080|7432915|7432982
28187;7433006|7433064|7433003
28188;7433049|7432911|7432951
28189;7433088|7433010|7433106
28190;7432932|7433085|7433095
28191;7433056|7432994|7432961
28192;7433033|7432944|7433107
28193;7433082|7432900|7432995
28194;7432978|7432906|7432873
28195;7432877|7433046|7433031
28196;7433059|7433053|7432983
28197;7433030|7432923|7432869
28198;7432976|7432934|7433020
28199;7432957|7432921|7433014
28200;7432895|7433002|7433043
28201;7433083|7433099|7432990
28202;7432866|7432912|7433026
28203;7433061|7432981|7432939
28204;7432950|7433026|7432957
28205;7432992|7432865|7433007
28206;7433083|7432979|7432951
28207;7432969|7432906|7432979
28208;7432981|7432940|7432892
28209;7433072|7432954|7433044
28210;7432978|7432898|7433087
28211;7433018|7432874|7433069
28212;7433104|7432958|7432936
28213;7433109|7432867|7432951
28214;7432941|7432989|7432879
28215;7433079|7432899|7433003
28216;7432965|7433017|7432900
28217;7432946|7432975|7433006
28218;7432959|7432992|7433085
28219;7433080|7433013|7433074
28220;7433019|7433052|7432938
28221;7432989|7432873|7433028
28222;7432969|7433003|7432879
28223;7433046|7432915|7433009
28224;7433043|7433001|7432949
28225;7432945|7433102|7433003
28226;7433058|7432955|7432984
28227;7432865|7433037|7432876
28228;7433032|7433101|7432937
28229;7432903|7433007|7432891
28230;7432890|7433035|7432936
28231;7433012|7432901|7432985
28232;7433025|7433109|7433086
28233;7432996|7433101|7432941
28234;7433093|7432951|7433028
28235;7433059|7432882|7432964
28236;7433053|7432904|7432964
28237;7433057|7432892|7432877
28238;7432940|7432921|7432974
28239;7433091|7433041|7432922
28240;7433112|7432974|7432964
28241;7433025|7433098|7432955
28242;7432993|7432971|7433030
28243;7432974|7432973|7433019
28244;7432910|7433049|7432974
28245;7432939|7432928|7432918
28246;7433009|7432918|7432992
28247;7433112|7433079|7433104
28248;7433106|7432917|7432866
28249;7432949|7433006|7432909
28250;7432970|7432974|7433078
28251;7432888|7433094|7432966
28252;7432867|7432889|7432948
28253;7432918|7433051|7432919
28254;7433087|7433028|7433075
28255;7432910|7432919|7433044
28256;7432942|7432989|7433053
28257;7433074|7433073|7432873
28258;7432867|7433062|7432968
28259;7432961|7432989|7433048
28260;7432868|7432879|7433061
28261;7433028|7432991|7432919
28262;7433098|7432866|7432995
28263;7433113|7433057|7432894
28264;7433100|7433079|7432978
28265;7432887|7432972|7433000
28266;7432963|7432976|7433077
28267;7432963|7433038|7433043
28268;7432880|7432964|7433083
28269;7432887|7432948|7433022
28270;7432882|7433055|7432999
28271;7432870|7433025|7432953
28272;7432981|7432874|7433014
28273;7432948|7433026|7433008
28274;7433055|7433013|7432867
28275;7432975|7433089|7433091
28276;7432896|7433089|7432888
28277;7433106|7432952|7432995
28278;7433099|7432914|7432885
28279;7432916|7433062|7433065
28280;7433007|7433077|7432972
28281;7433003|7432886|7433042
28282;7433071|7433100|7433097
28283;7433051|7432972|7433009
28284;7432902|7432936|7432968
28285;7432902|7433088|7432924
28286;7432875|7433052|7433111
28287;7433005|7433003|7433002
28288;7432988|7432975|7432879
28289;7432917|7433046|7432866
28290;7432889|7432877|7433064
28291;7432878|7432881|7433033
28292;7432936|7432898|7432946
28293;7432983|7432913|7432962
28294;7432974|7433010|7433014
28295;7432973|7432930|7432929
28296;7433112|7433045|7433002
